Window size: 10
Threshold Mean: 0.001
Threshold Covariance: 0.0001
TestGenerator object created
Table means exists.
Flushing table means...
Table means flushed
Table covariances exists.
Flushing table covariances...
Table covariances flushed
| Window | Mean Anomalies | Covariance Anomalies |
|--------|----------------|-----------------------|
| 11	 | 		465		 | 			237 		|
| 21	 | 		466		 | 			242 		|
| 31	 | 		470		 | 			283 		|
| 41	 | 		975		 | 			304 		|
| 51	 | 		485		 | 			344 		|
| 61	 | 		963		 | 			365 		|
| 71	 | 		956		 | 			325 		|
| 81	 | 		459		 | 			313 		|
| 91	 | 		955		 | 			397 		|
| 101	 | 		946		 | 			396 		|
| 111	 | 		956		 | 			362 		|
| 121	 | 		944		 | 			354 		|
| 131	 | 		928		 | 			338 		|
| 141	 | 		944		 | 			319 		|
| 151	 | 		940		 | 			296 		|
| 161	 | 		943		 | 			284 		|
| 171	 | 		936		 | 			271 		|
| 181	 | 		923		 | 			280 		|
| 191	 | 		960		 | 			281 		|
| 201	 | 		465		 | 			306 		|
| 211	 | 		926		 | 			221 		|
| 221	 | 		491		 | 			320 		|
| 231	 | 		951		 | 			324 		|
| 241	 | 		983		 | 			365 		|
| 251	 | 		952		 | 			384 		|
| 261	 | 		943		 | 			278 		|
| 271	 | 		947		 | 			309 		|
| 281	 | 		949		 | 			355 		|
| 291	 | 		512		 | 			331 		|
| 301	 | 		932		 | 			354 		|
| 311	 | 		924		 | 			292 		|
| 321	 | 		929		 | 			254 		|
| 331	 | 		957		 | 			246 		|
| 341	 | 		544		 | 			283 		|
| 351	 | 		968		 | 			336 		|
| 361	 | 		933		 | 			365 		|
| 371	 | 		912		 | 			290 		|
| 381	 | 		493		 | 			240 		|
| 391	 | 		477		 | 			221 		|
| 401	 | 		492		 | 			182 		|
| 411	 | 		504		 | 			237 		|
| 421	 | 		484		 | 			225 		|
| 431	 | 		482		 | 			256 		|
| 441	 | 		903		 | 			230 		|
| 451	 | 		467		 | 			212 		|
| 461	 | 		527		 | 			200 		|
| 471	 | 		937		 | 			321 		|
| 481	 | 		964		 | 			382 		|
| 491	 | 		951		 | 			327 		|
| 501	 | 		918		 | 			284 		|
| 511	 | 		906		 | 			264 		|
| 521	 | 		511		 | 			221 		|
| 531	 | 		898		 | 			214 		|
| 541	 | 		921		 | 			182 		|
| 551	 | 		896		 | 			165 		|
| 561	 | 		481		 | 			207 		|
| 571	 | 		931		 | 			228 		|
| 581	 | 		918		 | 			178 		|
| 591	 | 		875		 | 			222 		|
| 601	 | 		520		 | 			178 		|
| 611	 | 		495		 | 			197 		|
| 621	 | 		502		 | 			232 		|
| 631	 | 		901		 | 			209 		|
| 641	 | 		907		 | 			198 		|
| 651	 | 		923		 | 			208 		|
| 661	 | 		960		 | 			271 		|
| 671	 | 		977		 | 			302 		|
| 681	 | 		961		 | 			399 		|
| 691	 | 		571		 | 			441 		|
| 701	 | 		951		 | 			322 		|
| 711	 | 		921		 | 			233 		|
| 721	 | 		545		 | 			333 		|
| 731	 | 		521		 | 			424 		|
| 741	 | 		561		 | 			432 		|
| 751	 | 		912		 | 			383 		|
| 761	 | 		542		 | 			327 		|
| 771	 | 		955		 | 			238 		|
| 781	 | 		490		 | 			269 		|
| 791	 | 		916		 | 			173 		|
| 801	 | 		957		 | 			209 		|
| 811	 | 		878		 | 			191 		|
| 821	 | 		932		 | 			191 		|
| 831	 | 		488		 | 			198 		|
| 841	 | 		572		 | 			261 		|
| 851	 | 		883		 | 			218 		|
| 861	 | 		886		 | 			198 		|
| 871	 | 		502		 | 			227 		|
| 881	 | 		960		 | 			179 		|
| 891	 | 		931		 | 			171 		|
| 901	 | 		916		 | 			179 		|
| 911	 | 		886		 | 			157 		|
| 921	 | 		536		 | 			168 		|
| 931	 | 		931		 | 			182 		|
| 941	 | 		491		 | 			152 		|
| 951	 | 		494		 | 			116 		|
| 961	 | 		891		 | 			99 		|
| 971	 | 		902		 | 			138 		|
| 981	 | 		972		 | 			148 		|
| 991	 | 		933		 | 			153 		|
| 1001	 | 		505		 | 			148 		|
| 1011	 | 		937		 | 			125 		|
| 1021	 | 		485		 | 			97 		|
| 1031	 | 		483		 | 			114 		|
| 1041	 | 		459		 | 			66 		|
| 1051	 | 		481		 | 			100 		|
| 1061	 | 		928		 | 			157 		|
| 1071	 | 		464		 | 			173 		|
| 1081	 | 		507		 | 			98 		|
| 1091	 | 		981		 | 			144 		|
| 1101	 | 		970		 | 			187 		|
| 1111	 | 		937		 | 			99 		|
| 1121	 | 		531		 | 			150 		|
| 1131	 | 		489		 | 			159 		|
| 1141	 | 		566		 | 			164 		|
| 1151	 | 		838		 | 			125 		|
| 1161	 | 		875		 | 			111 		|
| 1171	 | 		910		 | 			92 		|
| 1181	 | 		881		 | 			170 		|
| 1191	 | 		891		 | 			178 		|
| 1201	 | 		964		 | 			128 		|
| 1211	 | 		851		 | 			98 		|
| 1221	 | 		890		 | 			100 		|
| 1231	 | 		521		 | 			136 		|
| 1241	 | 		511		 | 			156 		|
| 1251	 | 		926		 | 			158 		|
| 1261	 | 		945		 | 			141 		|
| 1271	 | 		934		 | 			79 		|
| 1281	 | 		870		 | 			89 		|
| 1291	 | 		421		 | 			74 		|
| 1301	 | 		493		 | 			90 		|
| 1311	 | 		478		 | 			104 		|
| 1321	 | 		853		 | 			110 		|
| 1331	 | 		895		 | 			103 		|
| 1341	 | 		475		 | 			100 		|
| 1351	 | 		846		 | 			101 		|
| 1361	 | 		884		 | 			157 		|
| 1371	 | 		505		 | 			177 		|
| 1381	 | 		508		 | 			149 		|
| 1391	 | 		505		 | 			108 		|
| 1401	 | 		866		 | 			73 		|
| 1411	 | 		966		 | 			94 		|
| 1421	 | 		864		 | 			192 		|
| 1431	 | 		849		 | 			100 		|
| 1441	 | 		524		 | 			119 		|
| 1451	 | 		930		 | 			112 		|
| 1461	 | 		502		 | 			99 		|
| 1471	 | 		926		 | 			104 		|
| 1481	 | 		901		 | 			122 		|
| 1491	 | 		528		 | 			128 		|
| 1501	 | 		535		 | 			224 		|
| 1511	 | 		889		 | 			165 		|
| 1521	 | 		848		 | 			124 		|
| 1531	 | 		862		 | 			97 		|
| 1541	 | 		445		 | 			59 		|
| 1551	 | 		839		 | 			69 		|
| 1561	 | 		884		 | 			110 		|
| 1571	 | 		508		 | 			187 		|
| 1581	 | 		844		 | 			127 		|
| 1591	 | 		844		 | 			104 		|
| 1601	 | 		844		 | 			103 		|
| 1611	 | 		515		 | 			94 		|
| 1621	 | 		865		 | 			108 		|
| 1631	 | 		909		 | 			149 		|
| 1641	 | 		924		 | 			165 		|
| 1651	 | 		935		 | 			173 		|
| 1661	 | 		880		 | 			180 		|
| 1671	 | 		496		 | 			356 		|
| 1681	 | 		916		 | 			157 		|
| 1691	 | 		575		 | 			221 		|
| 1701	 | 		546		 | 			213 		|
| 1711	 | 		807		 | 			113 		|
| 1721	 | 		851		 | 			72 		|
| 1731	 | 		837		 | 			139 		|
| 1741	 | 		549		 | 			125 		|
| 1751	 | 		511		 | 			115 		|
| 1761	 | 		854		 | 			107 		|
| 1771	 | 		524		 | 			85 		|
| 1781	 | 		892		 | 			69 		|
| 1791	 | 		461		 | 			71 		|
| 1801	 | 		535		 | 			64 		|
| 1811	 | 		886		 | 			63 		|
| 1821	 | 		937		 | 			116 		|
| 1831	 | 		948		 | 			124 		|
| 1841	 | 		806		 | 			283 		|
| 1851	 | 		523		 | 			103 		|
| 1861	 | 		808		 | 			46 		|
| 1871	 | 		846		 | 			76 		|
| 1881	 | 		494		 | 			102 		|
| 1891	 | 		502		 | 			127 		|
| 1901	 | 		860		 | 			100 		|
| 1911	 | 		513		 | 			111 		|
| 1921	 | 		552		 | 			50 		|
| 1931	 | 		909		 | 			75 		|
| 1941	 | 		645		 | 			216 		|
| 1951	 | 		911		 | 			366 		|
| 1961	 | 		992		 | 			323 		|
| 1971	 | 		928		 | 			149 		|
| 1981	 | 		565		 | 			224 		|
| 1991	 | 		884		 | 			155 		|
| 2001	 | 		574		 | 			193 		|
| 2011	 | 		582		 | 			350 		|
| 2021	 | 		946		 | 			485 		|
| 2031	 | 		891		 | 			295 		|
| 2041	 | 		876		 | 			206 		|
| 2051	 | 		632		 | 			236 		|
| 2061	 | 		904		 | 			375 		|
| 2071	 | 		935		 | 			349 		|
| 2081	 | 		871		 | 			384 		|
| 2091	 | 		888		 | 			373 		|
| 2101	 | 		951		 | 			376 		|
| 2111	 | 		567		 | 			314 		|
| 2121	 | 		603		 | 			281 		|
| 2131	 | 		921		 | 			322 		|
| 2141	 | 		910		 | 			300 		|
| 2151	 | 		927		 | 			166 		|
| 2161	 | 		611		 | 			257 		|
| 2171	 | 		900		 | 			305 		|
| 2181	 | 		964		 | 			391 		|
| 2191	 | 		914		 | 			447 		|
| 2201	 | 		963		 | 			382 		|
| 2211	 | 		967		 | 			443 		|
| 2221	 | 		617		 | 			379 		|
| 2231	 | 		930		 | 			432 		|
| 2241	 | 		984		 | 			594 		|
| 2251	 | 		977		 | 			609 		|
| 2261	 | 		991		 | 			633 		|
| 2271	 | 		982		 | 			682 		|
| 2281	 | 		987		 | 			592 		|
| 2291	 | 		940		 | 			570 		|
| 2301	 | 		918		 | 			479 		|
| 2311	 | 		957		 | 			470 		|
| 2321	 | 		934		 | 			492 		|
| 2331	 | 		677		 | 			467 		|
| 2341	 | 		945		 | 			451 		|
| 2351	 | 		997		 | 			621 		|
| 2361	 | 		940		 | 			497 		|
| 2371	 | 		911		 | 			531 		|
| 2381	 | 		944		 | 			447 		|
| 2391	 | 		945		 | 			464 		|
| 2401	 | 		928		 | 			438 		|
| 2411	 | 		587		 | 			320 		|
| 2421	 | 		637		 | 			281 		|
| 2431	 | 		916		 | 			272 		|
| 2441	 | 		949		 | 			335 		|
| 2451	 | 		937		 | 			287 		|
| 2461	 | 		829		 | 			271 		|
| 2471	 | 		891		 | 			200 		|
| 2481	 | 		907		 | 			326 		|
| 2491	 | 		878		 | 			202 		|
| 2501	 | 		590		 | 			250 		|
| 2511	 | 		867		 | 			301 		|
| 2521	 | 		550		 | 			433 		|
| 2531	 | 		550		 | 			148 		|
| 2541	 | 		915		 | 			143 		|
| 2551	 | 		549		 | 			167 		|
| 2561	 | 		959		 | 			139 		|
| 2571	 | 		666		 | 			224 		|
| 2581	 | 		979		 | 			168 		|
| 2591	 | 		879		 | 			109 		|
| 2601	 | 		810		 | 			129 		|
| 2611	 | 		524		 | 			94 		|
| 2621	 | 		541		 | 			131 		|
| 2631	 | 		593		 | 			189 		|
| 2641	 | 		988		 | 			286 		|
| 2651	 | 		852		 | 			475 		|
| 2661	 | 		945		 | 			420 		|
| 2671	 | 		988		 | 			419 		|
| 2681	 | 		992		 | 			203 		|
| 2691	 | 		861		 | 			282 		|
| 2701	 | 		644		 | 			271 		|
| 2711	 | 		845		 | 			170 		|
| 2721	 | 		702		 | 			134 		|
| 2731	 | 		943		 | 			107 		|
| 2741	 | 		889		 | 			110 		|
| 2751	 | 		859		 | 			150 		|
| 2761	 | 		859		 | 			183 		|
| 2771	 | 		615		 | 			176 		|
| 2781	 | 		941		 | 			129 		|
| 2791	 | 		838		 | 			114 		|
| 2801	 | 		473		 | 			37 		|
| 2811	 | 		852		 | 			73 		|
| 2821	 | 		567		 | 			127 		|
| 2831	 | 		887		 | 			161 		|
| 2841	 | 		540		 | 			93 		|
| 2851	 | 		545		 | 			165 		|
| 2861	 | 		679		 | 			155 		|
| 2871	 | 		952		 | 			73 		|
| 2881	 | 		671		 | 			88 		|
| 2891	 | 		916		 | 			103 		|
| 2901	 | 		851		 | 			100 		|
| 2911	 | 		867		 | 			106 		|
| 2921	 | 		851		 | 			242 		|
| 2931	 | 		661		 | 			123 		|
| 2941	 | 		815		 | 			88 		|
| 2951	 | 		722		 | 			398 		|
| 2961	 | 		968		 | 			567 		|
| 2971	 | 		829		 | 			594 		|
| 2981	 | 		850		 | 			563 		|
| 2991	 | 		989		 | 			382 		|
| 3001	 | 		995		 | 			435 		|
| 3011	 | 		915		 | 			422 		|
| 3021	 | 		648		 | 			369 		|
| 3031	 | 		543		 | 			366 		|
| 3041	 | 		595		 | 			268 		|
| 3051	 | 		702		 | 			160 		|
| 3061	 | 		868		 | 			158 		|
| 3071	 | 		852		 | 			117 		|
| 3081	 | 		888		 | 			128 		|
| 3091	 | 		863		 | 			125 		|
| 3101	 | 		563		 | 			106 		|
| 3111	 | 		898		 | 			117 		|
| 3121	 | 		945		 | 			89 		|
| 3131	 | 		652		 | 			170 		|
| 3141	 | 		962		 | 			190 		|
| 3151	 | 		833		 | 			188 		|
| 3161	 | 		542		 | 			280 		|
| 3171	 | 		559		 | 			175 		|
| 3181	 | 		823		 | 			349 		|
| 3191	 | 		836		 | 			202 		|
| 3201	 | 		669		 | 			207 		|
| 3211	 | 		617		 | 			149 		|
| 3221	 | 		769		 | 			74 		|
| 3231	 | 		652		 | 			121 		|
| 3241	 | 		891		 | 			108 		|
| 3251	 | 		529		 | 			110 		|
| 3261	 | 		584		 | 			130 		|
| 3271	 | 		866		 | 			167 		|
| 3281	 | 		969		 | 			141 		|
| 3291	 | 		796		 | 			81 		|
| 3301	 | 		560		 | 			62 		|
| 3311	 | 		697		 | 			69 		|
| 3321	 | 		791		 | 			71 		|
| 3331	 | 		560		 | 			89 		|
| 3341	 | 		801		 | 			123 		|
| 3351	 | 		644		 | 			122 		|
| 3361	 | 		815		 | 			74 		|
| 3371	 | 		790		 | 			77 		|
| 3381	 | 		830		 | 			197 		|
| 3391	 | 		596		 | 			237 		|
| 3401	 | 		856		 | 			116 		|
| 3411	 | 		880		 | 			106 		|
| 3421	 | 		826		 | 			150 		|
| 3431	 | 		983		 | 			125 		|
| 3441	 | 		852		 | 			82 		|
| 3451	 | 		849		 | 			132 		|
| 3461	 | 		930		 | 			115 		|
| 3471	 | 		830		 | 			112 		|
| 3481	 | 		706		 | 			66 		|
| 3491	 | 		875		 | 			85 		|
| 3501	 | 		819		 | 			113 		|
| 3511	 | 		660		 | 			148 		|
| 3521	 | 		952		 | 			121 		|
| 3531	 | 		631		 | 			101 		|
| 3541	 | 		930		 | 			76 		|
| 3551	 | 		611		 | 			72 		|
| 3561	 | 		556		 | 			53 		|
| 3571	 | 		909		 | 			84 		|
| 3581	 | 		959		 | 			175 		|
| 3591	 | 		820		 | 			119 		|
| 3601	 | 		775		 | 			91 		|
| 3611	 | 		844		 | 			99 		|
| 3621	 | 		832		 | 			111 		|
| 3631	 | 		827		 | 			119 		|
| 3641	 | 		840		 | 			127 		|
| 3651	 | 		570		 | 			93 		|
| 3661	 | 		602		 | 			47 		|
| 3671	 | 		838		 | 			54 		|
| 3681	 | 		565		 | 			55 		|
| 3691	 | 		844		 | 			43 		|
| 3701	 | 		664		 | 			86 		|
| 3711	 | 		884		 | 			75 		|
| 3721	 | 		517		 | 			37 		|
| 3731	 | 		567		 | 			42 		|
| 3741	 | 		525		 | 			60 		|
| 3751	 | 		705		 | 			111 		|
| 3761	 | 		981		 | 			226 		|
| 3771	 | 		830		 | 			182 		|
| 3781	 | 		865		 | 			148 		|
| 3791	 | 		796		 | 			61 		|
| 3801	 | 		772		 | 			162 		|
| 3811	 | 		585		 | 			87 		|
| 3821	 | 		830		 | 			122 		|
| 3831	 | 		637		 | 			189 		|
| 3841	 | 		942		 | 			173 		|
| 3851	 | 		966		 | 			116 		|
| 3861	 | 		927		 | 			132 		|
| 3871	 | 		957		 | 			105 		|
| 3881	 | 		884		 | 			99 		|
| 3891	 | 		887		 | 			112 		|
| 3901	 | 		709		 | 			115 		|
| 3911	 | 		814		 | 			65 		|
| 3921	 | 		830		 | 			64 		|
| 3931	 | 		596		 | 			70 		|
| 3941	 | 		622		 | 			77 		|
| 3951	 | 		826		 | 			162 		|
| 3961	 | 		818		 | 			171 		|
| 3971	 | 		774		 | 			261 		|
| 3981	 | 		798		 | 			236 		|
| 3991	 | 		819		 | 			252 		|
| 4001	 | 		969		 | 			186 		|
| 4011	 | 		812		 | 			220 		|
| 4021	 | 		857		 | 			248 		|
| 4031	 | 		869		 | 			205 		|
| 4041	 | 		569		 | 			148 		|
| 4051	 | 		713		 | 			194 		|
| 4061	 | 		919		 | 			220 		|
| 4071	 | 		794		 | 			264 		|
| 4081	 | 		969		 | 			340 		|
| 4091	 | 		819		 | 			467 		|
| 4101	 | 		759		 | 			224 		|
| 4111	 | 		798		 | 			263 		|
| 4121	 | 		760		 | 			135 		|
| 4131	 | 		630		 | 			187 		|
| 4141	 | 		867		 | 			219 		|
| 4151	 | 		856		 | 			161 		|
| 4161	 | 		943		 | 			161 		|
